Region,Pais,BCG,DTP1,DTP3,Polio3,MCV1,MCV2 (F),HepB3,Hib3,Rota,PCV3,PAB,Neumonía,Diarrea,Malaria Care,Malaria Sleeping,Malaria Households,mortality
,Israel,,99,98,98,99,96,96,98,79,94,,,,,,,4
,Italy,,94,94,94,92,86,94,94,63,91,,,,,,,3
Caribe,Jamaica,99,97,96,95,93,89,95,96,,,91,82,64,,,,14
,Japan,95,98,96,96,98,95,92,95,,95,,,,,,,2
,Jordan,76,78,77,76,76,90,77,77,75,,92,61,44,68,,,16
,Kazakhstan,93,94,88,88,93,91,88,88,,89,,81,62,,,,10
,Kenya,92,94,89,89,88,49,91,89,93,90,88,66,54,72,56,59,43
,Kiribati,93,99,92,91,82,57,92,92,89,91,93,87,61,27,69,86,51
,Kuwait,,,,,,,,,,,99,,,,,,8
,Kyrgyzstan,96,90,87,87,92,93,86,86,52,90,,60,36,48,,,18
,Lao People's Democratic Republic,90,87,79,78,79,47,79,79,,77,93,40,56,58,50,61,46
,Latvia,99,99,99,99,99,94,99,99,86,91,,,,,,,4
,Lebanon,,87,71,67,74,64,71,71,,74,,74,44,,,,7
,Lesotho,87,92,87,83,75,69,87,87,87,87,85,58,40,61,,,86
,Liberia,85,82,65,67,61,30,65,65,65,65,90,78,60,81,44,55,85
,Libya,74,74,73,73,73,72,73,73,73,73,,,,,,,12
,Liechtenstein,,,,,,,,,,,,,,,,,
,Lithuania,96,95,91,91,90,91,91,91,48,83,,,,,,,4
,Luxembourg,,99,99,99,99,90,96,99,89,96,,,,,,,3
,Madagascar,73,73,68,76,59,24,70,70,64,65,75,40,19,48,62,78,51
,Malawi,87,95,94,93,90,75,90,90,91,93,90,77,65,54,68,82,42
,Malaysia,99,99,98,98,95,84,99,98,,,95,92,45,,,,9
,Maldives,99,99,99,99,99,96,99,99,,,99,74,75,86,,,8
,Mali,78,75,70,65,62,26,70,70,68,66,87,35,21,53,79,85,94
,Malta,,99,98,98,95,99,98,98,,,,,,,,,7
,Marshall Islands,,,,,,,,,,,,,38,63,,,32
,Mauritania,80,79,71,76,72,,71,71,71,70,83,34,25,35,32,49,73
,Mauritius,96,94,93,94,89,87,93,93,92,86,97,,,,,,16
América del Norte,Mexico,28,79,74,74,89,78,79,74,71,75,96,73,61,,,,14
,Micronesia (Federated States of),84,98,83,82,79,62,88,68,40,79,,,,,,,29
,Monaco,,,,,,,,,,,,,,,,,3
,Mongolia,99,98,96,97,97,96,96,96,,92,,76,58,,,,16
,Montenegro,67,94,84,84,24,76,52,84,,,,89,16,74,,,2
,Montserrat,,,,,,,,,,,,,,,,,
,Morocco,,,,,,,,,,,90,70,22,,,,21
,Mozambique,91,83,79,73,81,62,79,79,79,65,86,57,46,69,73,82,74
,Myanmar,87,87,84,86,91,90,84,84,49,86,90,58,62,65,19,27,45
,Namibia,,,,,,,,,,,90,68,72,63,6,24,42
,Nauru,99,99,95,95,98,97,95,95,,,,69,23,51,,,31
,Nepal,92,89,84,84,87,74,84,84,,80,89,82,60,73,,,31
,Netherlands,,,,,,,,,,,,,,,,,4
,New Zealand,,94,92,92,91,91,92,92,88,92,,,,,,,5
América Central,Nicaragua,93,94,92,93,97,98,92,92,92,92,90,58,65,,,,17
,Niger,94,93,81,81,79,60,81,81,83,81,83,59,41,75,96,87,80
,Nigeria,67,65,57,57,54,12,57,57,,57,65,40,40,73,52,61,117
,Niue,,,,,,,,,,,,,,,,,23
,North Macedonia,,,,,,,,,,,,93,62,,,,6
,Norway,,98,97,97,97,95,97,97,95,96,,,,,,,2
,Oman,,,,,,,,,,,99,56,59,,,,11
,Pakistan,91,83,77,83,83,74,77,77,80,80,85,71,37,81,0,4,67
,Palau,,99,96,96,93,83,93,89,82,75,,,,,,,17
América Central,Panama,99,93,74,74,80,74,74,74,86,74,,82,52,,,,15
,Papua New Guinea,52,48,39,41,47,27,39,39,,39,67,63,30,50,52,69,45
América del Sur,Paraguay,84,84,79,78,80,72,79,79,80,82,95,89,28,86,,,19
América del Sur,Peru,,,,,,,,,,,95,61,34,61,,,13
,Philippines,64,74,71,72,72,68,71,71,,66,91,66,45,55,,,27
,Poland,,,,,,,,,,,,,,,,,4
,Portugal,,,,,,,,,,,,,,,,,4
,Qatar,98,89,82,89,90,90,82,82,83,70,,,,,,,7
,Republic of Korea,,,,,,,,,,,,,,,,,3
,Republic of Moldova,95,86,86,87,84,93,87,86,56,72,,79,42,,,,14
,Romania,97,95,87,87,87,75,87,87,,85,,,,,,,7
,Russian Federation,98,97,97,97,97,96,97,,,87,,,,,,,6
,Rwanda,89,91,91,91,94,91,91,91,91,91,97,54,34,62,56,66,34
,Saint Kitts and Nevis,98,99,99,99,99,99,99,99,,,,,,,,,15
Caribe,Saint Lucia,89,90,86,88,89,71,86,86,,,,,,,,,22
Caribe,Saint Vincent and the Grenadines,99,99,97,99,99,99,97,97,,,,,,,,,15
,Samoa,99,94,79,76,57,44,72,72,,,,72,59,63,,,15
,San Marino,,92,89,89,90,79,89,88,,82,,,,,,,2
,Sao Tome and Principe,,,,,,,,,,,99,82,42,62,63,78,30
,Saudi Arabia,95,96,95,95,96,96,95,95,96,95,,,,,,,7
,Senegal,95,93,91,84,88,69,92,92,92,92,95,48,26,50,65,81,45
,Serbia,,,,,,,,,,,,90,36,,,,5
,Seychelles,99,99,97,97,97,99,97,97,98,94,100,,,,,,14
,Sierra Leone,72,93,91,90,87,67,91,91,90,91,93,76,85,75,59,68,109
,Singapore,,,,,,,,,,,,,,,,,3
,Slovakia,,99,97,97,96,98,97,97,,96,,,,,,,6
,Slovenia,,98,95,95,94,91,,95,,70,,,,,,,2
,Solomon Islands,82,98,94,92,81,51,94,94,41,93,87,79,37,62,70,86,20
,Somalia,37,52,42,47,46,,42,42,,,60,23,13,37,11,19,117
,South Africa,86,88,84,84,84,76,84,84,83,83,90,66,51,68,,,34
,South Sudan,52,51,49,50,49,,49,49,,,65,48,39,57,42,63,96
,Spain,,98,98,98,98,94,98,98,,88,,,,,,,3
,Sri Lanka,99,96,96,96,96,96,96,96,,,99,52,54,92,4,6,7
,State of Palestine,99,99,99,99,99,99,99,99,99,99,,77,32,,,,19
,Sudan,92,96,90,90,86,68,90,90,92,90,81,48,20,,30,25,58
América del Sur,Suriname,,60,51,51,45,50,51,51,,,95,89,46,52,43,61,18
,Sweden,26,98,97,97,97,95,97,97,83,97,,,,,,,3
,Switzerland,,98,96,96,97,93,72,96,,86,,,,,,,4
,Syrian Arab Republic,74,65,49,53,59,53,49,49,,,90,77,50,,,,22
,Tajikistan,98,98,97,97,98,97,97,97,95,,,69,62,44,1,2,34
,Thailand,,,,,,,,,,,98,80,73,76,,,9
,Timor-Leste,88,87,86,86,79,78,86,86,,,83,70,70,58,55,64,44
,Togo,96,87,82,80,69,46,82,82,78,82,83,39,14,54,61,71,67
,Tokelau,,,,,,,,,,,,,,,,,
,Tonga,99,99,99,99,99,99,99,99,,,,,,82,,,17
América del Sur,Trinidad and Tobago,,,,,,,,,,,,74,45,,,,18
,Tunisia,85,92,92,92,93,92,92,92,,82,97,98,40,74,,,17
,Turkey,96,99,98,98,95,93,98,98,,95,95,45,,,,,10
,Turkmenistan,98,99,98,98,98,99,99,99,95,23,,51,47,59,,,42
,Turks and Caicos Islands,,,,,,,,,,,,,,,,,
,Tuvalu,99,99,95,90,93,85,93,93,,,,,44,79,,,24
,Uganda,91,94,89,88,87,,89,89,88,89,83,71,47,87,60,83,46
,Ukraine,93,93,81,84,85,82,81,85,,,,92,59,,,,8
,United Arab Emirates,86,90,90,80,99,92,91,90,86,84,,,,,,,7
,United Kingdom,,97,93,93,91,87,93,93,91,91,,,,,,,4
